internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135206.sig,659e0a2ccc4caadf374b08c1f26bcebd,659e0a2c,31,DNA,0,1000,1007100,True,ERR1135206,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135206.sig,86f11b52dafaae8c37165521340531c7,86f11b52,51,DNA,0,1000,842468,True,ERR1135206,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135207.sig,72f08508a2e988fe3ba4e10f6e334963,72f08508,21,DNA,0,1000,924081,True,ERR1135207,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135207.sig,50e3356518f8e458f5a5f17d965067f7,50e33565,31,DNA,0,1000,902263,True,ERR1135207,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135207.sig,b4389e7f18c9e7cd2e25cde506b8dd38,b4389e7f,51,DNA,0,1000,772390,True,ERR1135207,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135208.sig,f6f0ca657cb04dfc8102ca010986a8b6,f6f0ca65,21,DNA,0,1000,1044874,True,ERR1135208,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135208.sig,acf40471969cfedc79924192a4021e8d,acf40471,31,DNA,0,1000,1023531,True,ERR1135208,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135208.sig,e6f11e39477ffd37be779796cd44a798,e6f11e39,51,DNA,0,1000,858928,True,ERR1135208,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135209.sig,ee7aff049ccb251cdf32e002beb2bb29,ee7aff04,21,DNA,0,1000,1261655,True,ERR1135209,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135209.sig,0efd33530730b54f06c9d9a4b8bdd0bd,0efd3353,31,DNA,0,1000,1224485,True,ERR1135209,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135209.sig,4e8c66f555b0c15c1626516ec4ea8d47,4e8c66f5,51,DNA,0,1000,1003892,True,ERR1135209,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135210.sig,c5742051a59b6afd3616f70c318bc8bf,c5742051,21,DNA,0,1000,1203294,True,ERR1135210,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135210.sig,2edf540541954b6f752de1d7cd7ce445,2edf5405,31,DNA,0,1000,1172003,True,ERR1135210,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135210.sig,a80fc348d6ae8d4cb762870da2c48ffe,a80fc348,51,DNA,0,1000,979437,True,ERR1135210,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135211.sig,989ddc4eca021732e4204d14189bf188,989ddc4e,21,DNA,0,1000,1367705,True,ERR1135211,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135211.sig,832344ebdb788c9e55824237adf8f9c9,832344eb,31,DNA,0,1000,1339225,True,ERR1135211,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135211.sig,d27ea3e852e847164231e8b8f72e48ab,d27ea3e8,51,DNA,0,1000,1141607,True,ERR1135211,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135212.sig,04cff33b7b86c7c71b5480e4be54171c,04cff33b,21,DNA,0,1000,1544607,True,ERR1135212,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135212.sig,16442e589d5c33ec93717d726bb5b191,16442e58,31,DNA,0,1000,1517473,True,ERR1135212,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135212.sig,c8c2db7170fdbec667f353130623a34e,c8c2db71,51,DNA,0,1000,1279112,True,ERR1135212,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135213.sig,7b99d21400dd8dd3a02b068af266a3b9,7b99d214,21,DNA,0,1000,1563048,True,ERR1135213,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135213.sig,623e68a7b65e87c5cbdebc637f251fb9,623e68a7,31,DNA,0,1000,1543927,True,ERR1135213,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135213.sig,8f615567e1dd740e19e3bdc09957d7b3,8f615567,51,DNA,0,1000,1313686,True,ERR1135213,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135214.sig,39dc3626a9d87ca48f4292bf8b63add6,39dc3626,21,DNA,0,1000,944551,True,ERR1135214,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135214.sig,fbac8356e3a60eef35b48a1558fe37cd,fbac8356,31,DNA,0,1000,925038,True,ERR1135214,-
